relationship_kind,target_coa_id,source_coa_id,coefficient,term_order,mapped_label
reported_summary_link,S12.total_rooms_revenue,S1.total_rooms_revenue,1,1,
reported_summary_link,S12.total_rooms_expenses,S1.total_rooms_expenses,1,1,
reported_summary_link,S12.total_food_and_beverage_revenue,S2.total_food_and_beverage_revenue,1,1,
reported_summary_link,S12.total_food_and_beverage_expenses,S2.total_food_and_beverage_expenses,1,1,
reported_summary_link,S12.total_other_operated_departments_expenses,S3.total_other_operated_departments_expenses,1,1,
reported_summary_link,S12.total_administrative_and_general_expenses,S5.total_administrative_and_general_expenses,1,1,
reported_summary_link,S12.total_information_and_telecommunications_systems_expenses,S6.total_information_and_telecommunications_systems_expenses,1,1,
reported_summary_link,S12.total_sales_and_marketing_expenses,S7.total_sales_and_marketing_expenses,1,1,
reported_summary_link,S12.total_property_operation_and_maintenance_expenses,S8.total_property_operation_and_maintenance_expenses,1,1,
reported_summary_link,S12.total_utilities_expenses,S9.total_utilities_expenses,1,1,
reported_summary_link,S12.total_management_fees,S10.total_management_fees,1,1,
reported_summary_link,S12.total_non_operating_income_and_expenses,S11.total_non_operating_income_and_expenses,1,1,
derived_summary_link,S12.total_other_operated_departments_revenue,S3.total_other_operated_departments_revenue,1,1,
derived_summary_link,S12.total_miscellaneous_income,S4.total_miscellaneous_income,1,1,
derived_summary_link,S12.non_operating_income,S11.non_operating_income,1,1,
derived_summary_link,S12.rent,S11.rent,1,1,
derived_summary_link,S12.property_and_other_taxes,S11.property_and_other_taxes,1,1,
derived_summary_link,S12.insurance,S11.insurance,1,1,
derived_summary_link,S12.other,S11.other,1,1,
summary_equation,S12.total_revenue,S12.total_rooms_revenue,1,1,
summary_equation,S12.total_revenue,S12.total_food_and_beverage_revenue,1,2,
summary_equation,S12.total_revenue,S12.total_other_operated_departments_revenue,1,3,
summary_equation,S12.total_revenue,S12.total_miscellaneous_income,1,4,
summary_equation,S12.total_departmental_expenses,S12.total_rooms_expenses,1,1,
summary_equation,S12.total_departmental_expenses,S12.total_food_and_beverage_expenses,1,2,
summary_equation,S12.total_departmental_expenses,S12.total_other_operated_departments_expenses,1,3,
summary_equation,S12.departmental_profit,S12.total_revenue,1,1,
summary_equation,S12.departmental_profit,S12.total_departmental_expenses,-1,2,
summary_equation,S12.total_undistributed_expenses,S12.total_administrative_and_general_expenses,1,1,
summary_equation,S12.total_undistributed_expenses,S12.total_information_and_telecommunications_systems_expenses,1,2,
summary_equation,S12.total_undistributed_expenses,S12.total_sales_and_marketing_expenses,1,3,
summary_equation,S12.total_undistributed_expenses,S12.total_property_operation_and_maintenance_expenses,1,4,
summary_equation,S12.total_undistributed_expenses,S12.total_utilities_expenses,1,5,
summary_equation,S12.gop,S12.departmental_profit,1,1,
summary_equation,S12.gop,S12.total_undistributed_expenses,-1,2,
summary_equation,S12.income_after_management_fees,S12.gop,1,1,
summary_equation,S12.income_after_management_fees,S12.total_management_fees,-1,2,
summary_equation,S12.total_non_operating_income_and_expenses,S12.non_operating_income,1,1,
summary_equation,S12.total_non_operating_income_and_expenses,S12.rent,1,2,
summary_equation,S12.total_non_operating_income_and_expenses,S12.property_and_other_taxes,1,3,
summary_equation,S12.total_non_operating_income_and_expenses,S12.insurance,1,4,
summary_equation,S12.total_non_operating_income_and_expenses,S12.other,1,5,
summary_equation,S12.ebitda,S12.income_after_management_fees,1,1,
summary_equation,S12.ebitda,S12.total_non_operating_income_and_expenses,-1,2,
deterministic_calculation,S12.ffe_reserve,S12.total_revenue,0.04,1,Calculated: 4% of Total Revenue.
deterministic_calculation,S12.noi,S12.ebitda,1,1,Calculated: EBITDA less FF&E Reserve.
deterministic_calculation,S12.noi,S12.ffe_reserve,-1,2,Calculated: EBITDA less FF&E Reserve.
