department,coa_id,account_name,hierarchy_path,parent_coa_id,is_residual,mapping_note,synonyms
Summary,S12.rooms_available,Rooms Available,,,FALSE,,
Summary,S12.rooms_sold,Rooms Sold,,,FALSE,,
Summary,S12.occupancy,Occupancy,,,FALSE,,
Summary,S12.adr,ADR,,,FALSE,,
Summary,S12.revpar,RevPAR,,,FALSE,,
Summary,S12.total_rooms_revenue,Total Rooms Revenue,,,FALSE,,
Summary,S12.total_food_and_beverage_revenue,Total Food and Beverage Revenue,,,FALSE,,
Summary,S12.total_other_operated_departments_revenue,Total Other Operated Departments Revenue,,,FALSE,,
Summary,S12.total_miscellaneous_income,Total Miscellaneous Income,,,FALSE,,
Summary,S12.total_revenue,Total Revenue,,,FALSE,,
Summary,S12.total_rooms_expenses,Total Rooms Expenses,,,FALSE,,
Summary,S12.total_food_and_beverage_expenses,Total Food and Beverage Expenses,,,FALSE,,
Summary,S12.total_other_operated_departments_expenses,Total Other Operated Departments Expenses,,,FALSE,"Miscellaneous income expenses, although they should not be present, can be mapped to this account.",
Summary,S12.total_departmental_expenses,Total Departmental Expenses,,,FALSE,,
Summary,S12.departmental_profit,Departmental Profit,,,FALSE,,
Summary,S12.total_administrative_and_general_expenses,Total Administrative and General Expenses,,,FALSE,,
Summary,S12.total_information_and_telecommunications_systems_expenses,Total Information and Telecommunications Systems Expenses,,,FALSE,,
Summary,S12.total_sales_and_marketing_expenses,Total Sales and Marketing Expenses,,,FALSE,,
Summary,S12.total_property_operation_and_maintenance_expenses,Total Property Operation and Maintenance Expenses,,,FALSE,,
Summary,S12.total_utilities_expenses,Total Utilities Expenses,,,FALSE,,
Summary,S12.total_undistributed_expenses,Total Undistributed Expenses,,,FALSE,,
Summary,S12.gop,GOP,,,FALSE,,
Summary,S12.total_management_fees,Total Management Fees,,,FALSE,,
Summary,S12.income_after_management_fees,Income After Management Fees,,,FALSE,,
Summary,S12.non_operating_income,Non-Operating Income,,,FALSE,,
Summary,S12.rent,Rent,,,FALSE,,
Summary,S12.property_and_other_taxes,Property and Other Taxes,,,FALSE,,
Summary,S12.insurance,Insurance,,,FALSE,,
Summary,S12.other,Other Non-Operating Expenses,,,FALSE,,
Summary,S12.total_non_operating_income_and_expenses,Total Non-Operating Income and Expenses,,,FALSE,,
Summary,S12.ebitda,EBITDA,,,FALSE,,
Summary,S12.ffe_reserve,FF&E Reserve,,,FALSE,Do not invent when absent or zero.,replacement reserve|furniture fixtures and equipment reserve
